number,genus,rep,enzyme_location,metabolism,treatment,dryweight_g,sample_pH_start,sample_pH_end,sample_pH_change,sample_runtime_sec_total,sample_runtime_sec_0.4_pHunits,sample_pH_units_persecond,blank_pH_start,blank_pH_end,blank_pH_change,blank_runtime_sec_total,blank_runtime_sec_0.4_pHunits,blank_pH_units_persecond
155,Plocamium,2,eCA,nonccm,Low,,,,,,,,,,,,,
27,Plocamium,3,eCA,nonccm,Low,0.0224,7.98,7.58,0.40,126,126.00,0.0032,8.02,7.62,0.40,115,115.00,0.0035
59,Plocamium,4,eCA,nonccm,Low,0.0132,8.09,7.69,0.40,113,113.00,0.0035,8.15,7.69,0.46,165,143.48,0.0028
91,Plocamium,5,eCA,nonccm,Low,0.0234,8.04,7.64,0.40,97,97.00,0.0041,8.03,7.63,0.40,142,142.00,0.0028
106,Pyropia,1,CA,ccm,High,,,,,,,,,,,,,
138,Pyropia,2,CA,ccm,High,,,,,,,,,,,,,
10,Pyropia,3,CA,ccm,High,0.0191,7.95,7.55,0.40,106,106.00,0.0038,8.09,7.69,0.40,125,125.00,0.0032
42,Pyropia,4,CA,ccm,High,0.0169,7.96,7.56,0.40,94,94.00,0.0043,8.06,7.66,0.40,120,120.00,0.0033
74,Pyropia,5,CA,ccm,High,0.0303,8.03,7.63,0.40,116,116.00,0.0034,8.09,7.52,0.57,164,115.09,0.0035
108,Pyropia,1,eCA,ccm,High,,,,,,,,,,,,,
140,Pyropia,2,eCA,ccm,High,,,,,,,,,,,,,
12,Pyropia,3,eCA,ccm,High,0.0344,7.89,7.49,0.40,86,86.00,0.0047,8.04,7.64,0.40,112,112.00,0.0036
44,Pyropia,4,eCA,ccm,High,0.0405,7.99,7.59,0.40,124,124.00,0.0032,8.17,7.86,0.31,128,165.16,0.0024
76,Pyropia,5,eCA,ccm,High,0.0599,7.95,7.55,0.40,104,104.00,0.0038,8.02,7.62,0.40,129,129.00,0.0031
105,Pyropia,1,CA,ccm,Low,,,,,,,,,,,,,
137,Pyropia,2,CA,ccm,Low,,,,,,,,,,,,,
9,Pyropia,3,CA,ccm,Low,0.0327,7.95,7.55,0.40,90,90.00,0.0044,8.15,7.75,0.40,128,128.00,0.0031
41,Pyropia,4,CA,ccm,Low,0.0244,8.06,7.66,0.40,112,112.00,0.0036,8.12,7.72,0.40,149,149.00,0.0027
73,Pyropia,5,CA,ccm,Low,0.0206,8.02,7.62,0.40,118,118.00,0.0034,8.07,7.67,0.40,138,138.00,0.0029
107,Pyropia,1,eCA,ccm,Low,,,,,,,,,,,,,
139,Pyropia,2,eCA,ccm,Low,,,,,,,,,,,,,
11,Pyropia,3,eCA,ccm,Low,0.0337,7.64,7.24,0.40,106,106.00,0.0038,7.99,7.50,0.49,164,133.88,0.0030
43,Pyropia,4,eCA,ccm,Low,0.0392,7.99,7.58,0.41,103,100.49,0.0040,7.98,7.58,0.40,137,137.00,0.0029
75,Pyropia,5,eCA,ccm,Low,0.0161,8.04,7.64,0.40,117,117.00,0.0034,8.05,7.63,0.42,144,137.14,0.0029
126,Rhodymenia,1,CA,nonccm,High,,,,,,,,,,,,,
158,Rhodymenia,2,CA,nonccm,High,,,,,,,,,,,,,
30,Rhodymenia,3,CA,nonccm,High,0.0152,7.87,7.47,0.40,44,44.00,0.0091,8.13,7.73,0.40,129,129.00,0.0031
62,Rhodymenia,4,CA,nonccm,High,0.0193,7.97,7.57,0.40,48,48.00,0.0083,8.12,7.72,0.40,150,150.00,0.0027
94,Rhodymenia,5,CA,nonccm,High,0.0113,7.95,7.34,0.61,74,48.52,0.0082,8.03,7.63,0.40,125,125.00,0.0032
128,Rhodymenia,1,eCA,nonccm,High,,,,,,,,,,,,,
160,Rhodymenia,2,eCA,nonccm,High,,,,,,,,,,,,,
32,Rhodymenia,3,eCA,nonccm,High,0.0217,7.68,7.16,0.52,69,53.08,0.0075,7.78,7.38,0.40,171,171.00,0.0023
64,Rhodymenia,4,eCA,nonccm,High,0.0231,8.00,7.60,0.40,88,88.00,0.0045,8.02,7.57,0.45,147,130.67,0.0031
96,Rhodymenia,5,eCA,nonccm,High,0.0177,8.03,7.71,0.32,64,80.00,0.0050,8.03,7.71,0.32,145,181.25,0.0022
125,Rhodymenia,1,CA,nonccm,Low,,,,,,,,,,,,,
157,Rhodymenia,2,CA,nonccm,Low,,,,,,,,,,,,,
29,Rhodymenia,3,CA,nonccm,Low,0.0157,7.89,7.49,0.40,63,63.00,0.0063,8.05,7.65,0.40,125,125.00,0.0032
61,Rhodymenia,4,CA,nonccm,Low,0.0109,7.95,7.55,0.40,62,62.00,0.0065,8.07,7.67,0.40,134,134.00,0.0030
93,Rhodymenia,5,CA,nonccm,Low,0.0183,8.00,7.60,0.40,71,71.00,0.0056,8.14,7.74,0.40,150,150.00,0.0027
127,Rhodymenia,1,eCA,nonccm,Low,,,,,,,,,,,,,
159,Rhodymenia,2,eCA,nonccm,Low,,,,,,,,,,,,,
31,Rhodymenia,3,eCA,nonccm,Low,0.0331,7.87,7.47,0.40,90,90.00,0.0044,8.01,7.61,0.40,113,113.00,0.0035
63,Rhodymenia,4,eCA,nonccm,Low,0.0168,8.03,7.63,0.40,89,89.00,0.0045,8.15,7.75,0.40,159,159.00,0.0025
95,Rhodymenia,5,eCA,nonccm,Low,0.0251,7.99,7.59,0.40,72,72.00,0.0056,8.02,7.62,0.40,132,132.00,0.0030
110,Schizymenia,1,CA,ccm,High,,,,,,,,,,,,,
142,Schizymenia,2,CA,ccm,High,,,,,,,,,,,,,
14,Schizymenia,3,CA,ccm,High,0.0204,7.94,7.54,0.40,100,100.00,0.0040,8.12,7.72,0.40,161,161.00,0.0025
46,Schizymenia,4,CA,ccm,High,0.0174,8.00,7.60,0.40,80,80.00,0.0050,8.08,7.68,0.40,116,116.00,0.0034
78,Schizymenia,5,CA,ccm,High,0.0174,8.08,7.68,0.40,139,139.00,0.0029,8.11,7.71,0.40,154,154.00,0.0026
112,Schizymenia,1,eCA,ccm,High,,,,,,,,,,,,,
144,Schizymenia,2,eCA,ccm,High,,,,,,,,,,,,,
16,Schizymenia,3,eCA,ccm,High,0.0341,7.83,7.42,0.41,120,117.07,0.0034,7.71,7.31,0.40,154,154.00,0.0026
48,Schizymenia,4,eCA,ccm,High,0.0341,8.06,7.66,0.40,100,100.00,0.0040,8.15,7.75,0.40,134,134.00,0.0030
80,Schizymenia,5,eCA,ccm,High,0.0312,8.05,7.65,0.40,130,130.00,0.0031,8.00,7.60,0.40,136,136.00,0.0029
109,Schizymenia,1,CA,ccm,Low,,,,,,,,,,,,,
141,Schizymenia,2,CA,ccm,Low,,,,,,,,,,,,,
13,Schizymenia,3,CA,ccm,Low,0.0116,7.98,7.58,0.40,103,103.00,0.0039,8.12,7.72,0.40,141,141.00,0.0028
45,Schizymenia,4,CA,ccm,Low,0.0177,8.06,7.76,0.30,92,122.67,0.0033,8.11,7.71,0.40,143,143.00,0.0028
77,Schizymenia,5,CA,ccm,Low,0.0231,8.04,7.64,0.40,115,115.00,0.0035,8.03,7.63,0.40,133,133.00,0.0030
111,Schizymenia,1,eCA,ccm,Low,,,,,,,,,,,,,
143,Schizymenia,2,eCA,ccm,Low,,,,,,,,,,,,,
15,Schizymenia,3,eCA,ccm,Low,0.0166,7.87,7.47,0.40,92,92.00,0.0043,8.05,7.65,0.40,117,117.00,0.0034
47,Schizymenia,4,eCA,ccm,Low,0.0255,8.02,7.62,0.40,130,130.00,0.0031,8.00,7.60,0.40,131,131.00,0.0031
79,Schizymenia,5,eCA,ccm,Low,0.0169,8.06,7.66,0.40,118,118.00,0.0034,8.03,7.63,0.40,134,134.00,0.0030
