treatment,genus,metabolism,rep,solute_volume_red_extraction1,solute_volume_red_extraction2,solute_volume_green_extraction,wetweigh_g,wetdry_conversion,dryweight_g,pigment_pc_ugg,pigment_pe_ugg,pigment_pce_ugg,pigment_apc_ugg,pigment_chla_ugg
High,Hymenena,nonccm,3,5,3,3,0.0361,0.129868989,0.00468827,95.44528938,988.9801963,1084.425486,78.29184224,736.4329077
High,Hymenena,nonccm,2,5,3,3,0.0826,0.129868989,0.010727178,111.9343735,826.141441,938.0758145,98.38933923,371.4471626
High,Hymenena,nonccm,1,5,3,3,,,,,,,,
Low,Hymenena,nonccm,5,5,3,3,0.0724,0.129868989,0.009402515,64.75927077,480.7472727,545.5065435,112.091998,556.5305446
Low,Hymenena,nonccm,4,5,3,3,0.0689,0.129868989,0.008952302,68.95335049,589.9781154,658.9314659,74.27782225,507.276201
Low,Hymenena,nonccm,3,5,3,3,0.0679,0.129868989,0.008818104,108.6998556,900.6667467,1009.366602,79.6671606,390.1269336
Low,Hymenena,nonccm,2,5,3,3,0.0665,0.129868989,0.008636288,33.40092511,388.5203266,421.9212517,31.07430817,575.1711248
Low,Hymenena,nonccm,1,5,3,3,,,,,,,,
High,Opuntiella,nonccm,5,5,3,3,0.0667,0.098773483,0.006588191,33.84439262,295.6997718,329.5441644,171.9915649,258.9218477
High,Opuntiella,nonccm,4,5,3,3,0.0676,0.098773483,0.006677087,47.34399582,252.114915,299.4589108,154.3377521,93.78789859
High,Opuntiella,nonccm,3,5,3,3,0.0604,0.098773483,0.005965918,151.6737705,702.9842531,854.6580236,349.8952782,288.084733
High,Opuntiella,nonccm,2,5,3,3,0.0649,0.098773483,0.006410399,77.62071966,416.93298,494.5536996,225.4081984,213.5981598
High,Opuntiella,nonccm,1,5,3,3,,,,,,,,
Low,Opuntiella,nonccm,5,5,3,3,0.0956,0.098773483,0.009446037,58.7455398,402.22217,460.9677098,213.1018349,144.5810073
Low,Opuntiella,nonccm,4,5,3,3,0.0674,0.098773483,0.006657333,76.82255834,429.9970337,506.819592,210.516742,82.91759192
Low,Opuntiella,nonccm,3,5,3,3,0.0797,0.098773483,0.007872247,48.35722507,298.2536994,346.6109244,139.5704925,187.5411274
Low,Opuntiella,nonccm,2,5,3,3,0.1398,0.098773483,0.013808533,51.05683599,478.415777,529.472613,289.2182701,163.2843027
Low,Opuntiella,nonccm,1,5,3,3,,,,,,,,
High,Plocamium,nonccm,5,5,3,3,0.0884,0.124148639,0.01097474,58.90375103,453.7516893,512.6554403,38.86439946,86.51989583
High,Plocamium,nonccm,4,5,3,3,0.0407,0.124148639,0.00505285,75.78166056,700.3361693,776.1178298,59.14418403,99.27203584
High,Plocamium,nonccm,3,5,3,3,0.0697,0.124148639,0.00865316,74.41105574,622.6739055,697.0849612,50.30296052,106.092313
High,Plocamium,nonccm,2,5,3,3,0.08,0.124148639,0.009931891,88.54775563,713.9338578,802.4816134,52.90029807,132.4850074
High,Plocamium,nonccm,1,5,3,3,,,,,,,,
Low,Plocamium,nonccm,5,5,3,3,0.0698,0.124148639,0.008665575,136.8595469,900.2172398,1037.076787,27.21727451,194.2379282
Low,Plocamium,nonccm,4,5,3,3,0.0657,0.129868989,0.00854105,115.7646972,859.6366074,975.4013045,49.74132263,192.4018236
Low,Plocamium,nonccm,3,5,3,3,0.0475,0.124148639,0.00589706,87.13946214,740.3892354,827.5286976,47.39988802,213.0428711
Low,Plocamium,nonccm,2,5,3,3,0.08,0.124148639,0.009931891,123.2950825,938.3033469,1061.598429,74.60680536,169.9246715
Low,Plocamium,nonccm,1,5,3,3,,,,,,,,
High,Rhodymenia,nonccm,5,5,3,3,0.1796,0.057870307,0.010393507,41.0955282,334.8603392,375.9558674,66.5896496,279.8788983
High,Rhodymenia,nonccm,4,5,3,3,0.1796,0.057870307,0.010393507,41.0955282,334.8603392,375.9558674,66.5896496,279.8788983
High,Rhodymenia,nonccm,3,5,3,3,0.1393,0.057870307,0.008061334,45.24396042,285.9278702,331.1718307,62.20062504,300.4556564
High,Rhodymenia,nonccm,2,5,3,3,0.1393,0.057870307,0.008061334,45.24396042,285.9278702,331.1718307,62.20062504,300.4556564
High,Rhodymenia,nonccm,1,5,3,3,,,,,,,,
Low,Rhodymenia,nonccm,5,5,3,3,0.126,0.098773483,0.012452044,23.17204542,350.1244983,373.2965437,45.63804693,260.5249153
Low,Rhodymenia,nonccm,4,5,3,3,0.1417,0.057870307,0.008200223,9.723313378,214.7510829,224.4743963,29.71220184,246.8205379
Low,Rhodymenia,nonccm,3,5,3,3,0.1148,0.057870307,0.006643511,34.56806565,383.0534639,417.6215295,66.77493011,288.2316181
Low,Rhodymenia,nonccm,2,5,3,3,0.1217,0.057870307,0.007042816,25.22475723,452.5689481,477.7937054,40.42700884,246.5225899
Low,Rhodymenia,nonccm,1,5,3,3,,,,,,,,
